StateAbbr,PlaceName,PlaceFIPS,Population2010,Lat,Long,long_num,lat_num,Temp1990,Temp2020,Temp2050,Temp_Change_2020,Temp_Change_2050,Num_Above_1990,Num_Above_2020,Num_Above_2050,Num_Above_2080,Num_Above_Change_2020,Num_Above_Change_2050,Num_Above_Change_2080
WI,Madison,5548000,233209,43.08098656939999,-89.39151063,587,316,100.24763061523443,103.1903405761719,106.68529479980475,2.942709960937478,6.437664184570323,1.5272727272727271,4.754545454545455,16.30909090909091,16.30909090909091,3.2272727272727275,14.781818181818181,14.781818181818181
NC,Winston-Salem,3775000,229617,36.10294530390001,-80.26098892,733,205,100.86035461425786,106.51934082031258,109.3629321289063,5.6589862060547205,8.502577514648436,3.072727272727273,15.209090909090909,37.27272727272727,37.27272727272727,12.136363636363637,34.2,34.2
TX,Lubbock,4845000,229573,33.5666251178,-101.8863357,387,164,107.72444763183599,110.67523803710944,114.17650390625003,2.9507904052734517,6.452056274414048,29.6,57.66363636363637,89.99090909090908,89.99090909090908,28.06363636363637,60.390909090909084,60.390909090909084
LA,Baton Rouge,2205000,229493,30.4510891679,-91.1263552,559,114,100.82782409667972,103.94589782714847,107.2340014648438,3.118073730468751,6.40617736816408,8.163636363636364,28.190909090909095,67.8,67.8,20.02727272727273,59.63636363636363,59.63636363636363
NC,Durham,3719000,228330,35.9809147402,-78.90591611,755,203,102.77244812011722,108.39261962890627,110.38280395507817,5.620171508789056,7.610355834960956,7.327272727272728,23.8,49.50000000000001,49.50000000000001,16.472727272727273,42.17272727272728,42.17272727272728
TX,Garland,4829000,226876,32.9100799867,-96.63042586,471,154,108.67053527832033,111.04412048339847,114.53764648437502,2.373585205078143,5.8671112060546875,42.00909090909091,65.88181818181819,96.01818181818182,96.01818181818182,23.872727272727282,54.00909090909091,54.00909090909091
AZ,Glendale,427820,226721,33.57961230890001,-112.2253064,221,164,117.76741821289065,120.00094421386726,122.96628051757816,2.2335260009766102,5.198862304687509,137.62727272727273,153.93636363636364,169.49999999999997,169.49999999999997,16.309090909090912,31.872727272727246,31.872727272727246
NV,Reno,3260600,225221,39.55401719979999,-119.8527335,99,260,101.74457824707036,105.33520690917973,106.82821594238285,3.590628662109367,5.08363769531249,4.254545454545455,13.581818181818182,29.381818181818183,29.381818181818183,9.327272727272728,25.12727272727273,25.12727272727273
FL,Hialeah,1230000,224669,25.869626947999997,-80.30452947,732,41,96.71162597656254,98.70300231933598,101.1225268554688,1.9913763427734352,4.410900878906261,0.5454545454545454,4.390909090909091,29.372727272727275,29.372727272727275,3.8454545454545452,28.827272727272728,28.827272727272728
VA,Chesapeake,5116000,222209,36.677752111800004,-76.30243259,796,214,100.14343078613284,103.05035278320315,106.59992004394535,2.906921997070313,6.456489257812507,3.2909090909090915,11.772727272727272,26.736363636363638,26.736363636363638,8.48181818181818,23.445454545454545,23.445454545454545
