StateAbbr,PlaceName,PlaceFIPS,Population2010,Lat,Long,long_num,lat_num,Temp1990,Temp2020,Temp2050,Temp_Change_2020,Temp_Change_2050,Num_Above_1990,Num_Above_2020,Num_Above_2050,Num_Above_2080,Num_Above_Change_2020,Num_Above_Change_2050,Num_Above_Change_2080,geometry
AZ,Tucson,477000,520116,32.1567244483,-110.8770855,243,142,113.09131835937505,115.74836730957036,118.2761401367188,2.6570489501953034,5.184821777343743,107.5909090909091,130.48181818181814,151.12727272727273,151.12727272727273,22.890909090909048,43.53636363636363,43.53636363636363,"c(-110.8770855, 32.1567244483)"
MO,Kansas C.,2938000,459787,39.123941397100005,-94.55412368,504,253,108.54486267089847,110.50004455566412,116.16412841796878,1.9551818847656506,7.619265747070315,13.918181818181818,30.07272727272727,57.490909090909085,57.490909090909085,16.154545454545453,43.57272727272726,43.57272727272726,"c(-94.55412368, 39.1239413971)"
CA,Sacramento,664000,466488,38.5666321567,-121.4682998,74,244,112.68035278320318,114.87063110351566,116.42225769042975,2.190278320312487,3.7419049072265693,40.6,57.65454545454546,76.75454545454546,76.75454545454546,17.054545454545462,36.15454545454546,36.15454545454546,"c(-121.4682998, 38.5666321567)"
CO,Colorado Springs,816000,416427,38.86727480769999,-104.7606645,341,249,95.66096496582036,98.31390502929692,103.13818298339848,2.6529400634765636,7.477218017578124,0.19090909090909086,2.0636363636363635,12.4,12.4,1.8727272727272726,12.209090909090909,12.209090909090909,"c(-104.7606645, 38.8672748077)"
NE,Omaha,3137000,408958,41.26423091110001,-96.04150764,480,287,104.07218566894535,107.25235412597661,111.46377075195316,3.1801684570312574,7.391585083007811,5.118181818181819,13.1,34.790909090909096,34.790909090909096,7.981818181818181,29.67272727272728,29.67272727272728,"c(-96.04150764, 41.2642309111)"
FL,Miami,1245000,399457,25.782295896999997,-80.22156478,733,40,96.80676757812503,98.84235839843754,101.15100341796878,2.035590820312507,4.344235839843748,0.5545454545454545,4.327272727272726,27.309090909090905,27.309090909090905,3.7727272727272716,26.75454545454545,26.75454545454545,"c(-80.22156478, 25.782295897)"
MN,Minneapolis,2743000,382578,44.9635407967,-93.26783453,525,346,101.29985168457037,104.79192749023443,108.27601074218755,3.492075805664058,6.976159057617181,2.4727272727272727,7.836363636363638,21.136363636363633,21.136363636363633,5.363636363636365,18.66363636363636,18.66363636363636,"c(-93.26783453, 44.9635407967)"
KS,Wichita,2079000,382368,37.690561478,-97.34293668,460,230,110.13005249023442,113.38831726074223,116.50386413574222,3.2582647705078074,6.3738116455078,28.972727272727276,47.236363636363635,69.7909090909091,69.7909090909091,18.26363636363636,40.81818181818182,40.81818181818182,"c(-97.34293668, 37.690561478)"
LA,New Orleans,2255000,343829,30.068700993499995,-89.93163179,578,108,99.34102783203129,101.62411315917971,105.60793151855474,2.2830853271484273,6.266903686523449,6.927272727272728,20.66363636363636,53.81818181818181,53.81818181818181,13.736363636363633,46.890909090909084,46.890909090909084,"c(-89.93163179, 30.0687009935)"
MO,St. Louis,2965000,319294,38.63581226150001,-90.24511868,573,245,107.0911187744141,110.34303344726565,112.59164367675787,3.251914672851555,5.50052490234377,9.036363636363635,26.17272727272727,53.472727272727276,53.472727272727276,17.136363636363633,44.43636363636364,44.43636363636364,"c(-90.24511868, 38.6358122615)"
PA,Pittsburgh,4261000,305704,40.4396297486,-79.9762615,737,274,97.78634155273443,103.15388244628912,106.68367980957035,5.36754089355469,8.897338256835923,0.7909090909090909,6.999999999999998,21.39090909090909,21.39090909090909,6.209090909090907,20.6,20.6,"c(-79.9762615, 40.4396297486)"
KY,Lexington,2146027,295803,38.0423254022,-84.45872596,666,236,100.71702697753912,104.84909484863286,109.83754699707035,4.132067871093739,9.120520019531227,2.0454545454545454,14.10909090909091,35.554545454545455,35.554545454545455,12.063636363636364,33.50909090909091,33.50909090909091,"c(-84.45872596, 38.0423254022)"
AL,Brm.,107000,212237,33.5275663773,-86.79881747,628,163,103.4286724853516,106.69057922363285,111.26951599121098,3.2619067382812545,7.840843505859382,9.754545454545454,26.51818181818182,55.01818181818182,55.01818181818182,16.763636363636365,45.263636363636365,45.263636363636365,"c(-86.79881747, 33.5275663773)"
DC,Washington,1150000,601723,38.9099241426,-77.01472057,785,250,101.9496929931641,106.01557373046879,108.85421569824223,4.065880737304681,6.904522705078122,6.1,16.709090909090907,37.85454545454546,37.85454545454546,10.609090909090908,31.754545454545458,31.754545454545458,"c(-77.01472057, 38.9099241426)"
UT,Salt Lake City,4967000,186440,40.77784894650001,-111.9312208,226,279,103.91394958496099,107.34066772460942,110.5605407714844,3.426718139648429,6.646591186523409,15.445454545454544,32.1,55.36363636363636,55.36363636363636,16.654545454545456,39.918181818181814,39.918181818181814,"c(-111.9312208, 40.7778489465)"
MT,Billings,3006550,104170,45.78931026090001,-108.5488278,280,360,105.39608215332035,107.14891235351566,109.92962890625003,1.752830200195305,4.533546752929681,11.427272727272726,19.427272727272726,37.74545454545454,37.74545454545454,8,26.318181818181817,26.318181818181817,"c(-108.5488278, 45.7893102609)"
SD,Sioux Falls,4659020,153888,43.538806753699994,-96.73134959,469,324,103.55714111328129,107.07175537109379,110.86552124023441,3.5146142578124966,7.308380126953125,5.536363636363637,12.754545454545454,31.127272727272732,31.127272727272732,7.218181818181817,25.590909090909093,25.590909090909093,"c(-96.73134959, 43.5388067537)"
TX,El Paso,4824000,649121,31.848112350599997,-106.4320219,314,137,109.68334289550785,112.81417175292972,115.02898254394536,3.130828857421875,5.345639648437512,52.74545454545455,80.62727272727273,106.15454545454547,106.15454545454547,27.881818181818176,53.40909090909092,53.40909090909092,"c(-106.4320219, 31.8481123506)"
ID,Boise City,1608830,205671,43.5984343897,-116.2308852,157,325,107.86654479980473,111.12753417968754,114.16568786621099,3.2609893798828153,6.299143066406259,18.490909090909092,33.77272727272727,54.245454545454535,54.245454545454535,15.281818181818181,35.75454545454544,35.75454545454544,"c(-116.2308852, 43.5984343897)"
SC,Charleston,4513330,120083,32.81369618919999,-79.9673819,738,152,100.31988769531256,103.04597473144536,105.6789361572266,2.726087036132796,5.359048461914043,3.9272727272727272,10.036363636363635,25.01818181818182,25.01818181818182,6.109090909090908,21.090909090909093,21.090909090909093,"c(-79.9673819, 32.8136961892)"
ND,Fargo,3825700,105549,46.865245783199995,-96.82898823,468,377,103.5029565429688,105.8694390869141,109.55184204101568,2.3664825439452954,6.048885498046872,2.8909090909090907,5.9,16.20909090909091,16.20909090909091,3.0090909090909097,13.31818181818182,13.31818181818182,"c(-96.82898823, 46.8652457832)"
TX,Laredo,4841464,236091,27.548257247499997,-99.48677973,425,68,112.68714233398441,114.72624328613287,118.64258911132818,2.039100952148459,5.9554467773437665,111.41818181818182,136.73636363636365,168.73636363636365,168.73636363636365,25.318181818181827,57.31818181818183,57.31818181818183,"c(-99.48677973, 27.5482572475)"
MS,Jackson,2836000,173514,32.31627222,-90.21245286,574,144,104.77344848632818,107.8982788085938,112.31446960449225,3.1248303222656233,7.541021118164068,19.42727272727273,42.93636363636364,80.25454545454545,80.25454545454545,23.509090909090908,60.82727272727272,60.82727272727272,"c(-90.21245286, 32.31627222)"
FL,Orlando,1253000,238300,28.480064677099996,-81.34524112,715,83,99.77171386718753,102.55026611328128,105.04365722656254,2.778552246093753,5.271943359375015,6.736363636363637,26.345454545454544,80.25454545454545,80.25454545454545,19.609090909090906,73.51818181818182,73.51818181818182,"c(-81.34524112, 28.4800646771)"
GA,Atlanta,1304000,420003,33.762652468300004,-84.42314191,666,167,100.66105712890628,104.50903503417972,107.41605041503911,3.8479779052734386,6.75499328613283,5.5,17.890909090909087,40.11818181818181,40.11818181818181,12.390909090909087,34.61818181818181,34.61818181818181,"c(-84.42314191, 33.7626524683)"
